Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
FA,FA 0026,FERRY MAINTENANCE FACILITY,2021,101747,53000,0,0,154747
FA,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",2021,0,0,2775277,2137000,4912277
HA,HA M001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",2021,495,0,0,0,495
HA,HA X001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL PROJECTS, THE BRONX",2021,1010089,0,0,0,1010089
HA,HA 0001,HOUSING AUTHORITY CITY CAPITAL SUBSIDIES,2021,408622593,391900000,337500000,337500000,1475522593
HB,HB 0163,"FIVE BRIDGES IN MELROSE, THE BRONX",2021,1968850,0,0,0,1968850
HB,HB 0199,RECONSTRUCTION OF BRIDGE AND APPROACHES AT EAST 153RD STREET,2021,0,0,1629700,5822000,7451700
HB,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",2021,0,171502001,360429000,449086000,981017001
HB,HB 0278,"BQE (278-I) FROM SANDS STREET TO ATLANTIC AVENUE, BROOKLYN",2021,0,197999000,200000000,401709000,799708000
HB,HB 0431,"REHABILITATION OF BRIDGE AT 49TH AVENUE, QUEENS",2021,0,6954821,0,88019000,94973821
HB,HB 0530,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",2021,197000,0,10222000,40418000,50837000
HB,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",2021,4822000,0,6000000,89062000,99884000
HB,HB 0551,"RECONST & STRUCT REHAB OF PARK TUNNEL E.34TH TO E.39TH ST, MANHATTAN",2021,5142372,0,0,0,5142372
HB,HB 0643,"RECONSTRUCTION OF BRIDGE, GERRITSEN INLET-BSHP BKLYN",2021,2691248,0,0,0,2691248
HB,HB 0644,"RECONSTRUCTION OF BRIDGE, MADISON AVE. OVER HARLEM RIVER DRIVE",2021,3540326,0,0,0,3540326
HB,HB 1012,"DESIGN COST FOR BRIDGE FACILITIES, CITYWIDE",2021,0,0,95915375,26772000,122687375
HB,HB 1013,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",2021,3321151,1017000,726000,1071000,6135151
HB,HB 1014,"BRIDGE FACILITY RECONSTRUCTION AND REHABILITATION, CITYWIDE",2021,0,5222676,414000,428000,6064676
HB,HB 1028,"BRIDGE REHABILITATION, E. 14TH STREET, ETC., BROOKLYN",2021,0,0,2543000,16951000,19494000
HB,HB 1070,"BRIDGE PAINTING, CITYWIDE",2021,73722378,27293000,41625000,81660000,224300378
HB,HB 1072,"RECONSTRUCTION BELT SHORE PARKWAY/FRESH CREEK BIN 2-23150-9, BROOKLYN",2021,77000,0,0,0,77000
HB,HB 1078,"RECONSTRUCTION OF HARLEM RIVER DRIVE RAMP, BIN 2-26724-0, MANHATTAN",2021,0,0,45541199,346567000,392108199
HB,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",2021,0,0,41804499,0,41804499
HB,HB 1103,"RECON OF CONC. VILLAGE AVE BR OVER METRO-NORTH BR., THE BRONX",2021,0,0,2358200,42717000,45075200
HB,HB 1114,"RECON OF TWO HEMPSTEAD AVE BRIDGES OVER CROSS ISLAND PKWY, QUEENS",2021,0,0,6535250,41531000,48066250
HB,HB 1115,"RECON OF UNION TURNPIKE BRIDGE OVER CROSS ISLAND PKWY, QUEENS",2021,0,7018999,53990000,0,61008999
HB,HB 1120,"RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",2021,45223788,0,0,0,45223788
HB,HB 1127,"RECON PELHAM PKWY BRIDGE OVER HUTCHINSON PKWY, THE BRONX",2021,39000,42806000,0,0,42845000
HB,HB 1131,"RECON UNIONPORT RD BRIDGE OVER WESTCHESTER CREEK, THE BRONX",2021,848925,0,200000,0,1048925
HB,HB 1139,"RECON EAST 183RD ST BR/METRO-NORTH RR, HAR, THE BRONX",2021,0,1456755,18839000,0,20295755
HB,HB 1141,"RECON METROPOLITAN AVE BRIDGE OVER CONRAIL, QUEENS",2021,4574000,10639000,49298000,0,64511000
HB,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",2021,2212599,0,0,0,2212599
HB,HB 1172,"RECON EAST 188TH ST BR OVER METRO NORTH RR, THE BRONX",2021,7673337,20000000,0,0,27673337
HB,HB 1173,"RECON BR OVER CROSS ISLAND PARKWAY AT 115TH AVENUE, QUEENS",2021,0,22101000,0,961000,23062000
HB,HB 1190,"RECONSTRUCT GRAND CONCOURSE BRIDGE OVER METRO-NORTH RR HUD, THE BRONX",2021,41838477,0,0,0,41838477
HB,HB 1203,"RECONSTRUCT ROOSEVELT AVENUE BRIDGE OVER VAN WYCK EXPRESSWAY, QUEENS",2021,2211301,1630000,0,0,3841301
HB,HB 1205,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",2021,9874088,51000000,0,0,60874088
HB,HB 1221,RECONSTRUCTION OF E. 25TH ST PEDESTRIAN BRIDGE OVER FDR,2021,0,7926000,0,0,7926000
HB,HB 2934,"RAMP TO NORTHBOUND HENRY HUDSON PARKWAY OVER AMTRAK, MANHATTAN",2021,0,0,0,3550000,3550000
HB,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",2021,0,0,1939353,14099000,16038353
HB,HB 4146,"WEST TREMONT AVENUE BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",2021,8342827,32642000,0,0,40984827
HB,HB 4310,"BEVERLY ROAD OVER THE BMT SUBWAY IN BRIGHTON, BROOKLYN",2021,0,0,3743800,38452000,42195800
HB,HB 4982,"ARTHUR KILL ROAD BRIDGE OVER ARTHUR KILL STREAM, STATEN ISLAND",2021,0,1513000,7350000,0,8863000
HB,HB 6622,678-I SOUTHBOUND TO BELT CROSS ISLAND PARKWAY ACCESS ROAD FROM 678-I,2021,0,2079360,0,0,2079360
HB,HB 6672,"EAST 174TH STREET BRIDGE OVER THE SHERIDAN EXPRESSWAY, THE BRONX",2021,0,0,11228872,0,11228872
HB,HB 7003,"EAST 156TH STREET BRIDGE OVER ACCESS TO HOUSING, THE BRONX",2021,0,0,5346600,52500000,57846600
HD,HD KN003,"FIFTH AVENUE COMMITTEE, INC. (FAC)",2021,500000,0,0,0,500000
HD,HD K020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, BROOKLYN",2021,0,500000,0,0,500000
HD,HD K082,AUTO / OTHER PURCHASES,2021,0,569,0,0,569
HD,HD M020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, MANHATTAN",2021,300000,0,0,0,300000
HD,HD Q020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, QUEENS",2021,1000000,0,0,0,1000000
HD,HD 0001,AFFORDABLE NEIGHBORHOOD COOPERATIVE PROGRAM,2021,38750261,36172000,46021000,28780000,149723261
HD,HD 0004,VERY LOW-INCOME AND EXTREMELY LOW-INCOME HOUSING,2021,225105731,270157000,224564000,229255000,949081731
HD,HD 0005,MULTIFAMILY PRESERVATION LOAN PROGRAM,2021,0,12209043,10503000,14302000,37014043
HD,HD 0007,HPD GREEN PROGRAM,2021,424342,0,0,0,424342
HD,HD 0009,ARTICLE 7A FOR ANTI-ABANDONMENT,2021,65145,5412000,5520000,5631000,16628145
HD,HD 0010,LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS,2021,30081401,95372000,83616000,75230000,284299401
HD,HD 0017,RECONSTRUCTION OR REHABILITATION OF RESIDENTIAL BUILDINGS,2021,1414150,0,0,0,1414150
HD,HD 0022,DEMOLITION OF UNSAFE BUILDINGS,2021,0,145816,552000,563000,1260816
HD,HD 0051,"SMALL HOMES DEVELOPMENT, SCATTER SITE",2021,0,6562238,14429000,14718000,35709238
HD,HD 0090,COMPUTER PURCHASES AND UPGRADE,2021,0,762228,10480000,10820000,22062228
HD,HD 0107,ARTICLE 8A LOAN PROGRAM,2021,0,37596641,20588000,17838000,76022641
HD,HD 0109,SUPPORTIVE HOUSING REHAB,2021,71886617,0,0,0,71886617
HD,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",2021,0,79784379,95320000,97227000,272331379
HD,HD 0157,ASSOCIATED COSTS - OTHER SITES,2021,0,0,5783631,9958000,15741631
HD,HD 0200,"THIRD PARTY TRANSFER PROGRAMS, LL #37, CITYWIDE",2021,6180784,33177000,45571000,46482000,131410784
HD,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",2021,101759322,100000000,100000000,25000000,326759322
HD,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",2021,0,0,0,26081427,26081427
HD,HD 0211,QUEENS WEST,2021,0,0,0,5703707,5703707
HD,HD 0212,LOW INCOME RENTAL PROGRAM,2021,124303334,159316000,106944000,113926000,504489334
HD,HD 0213,MIXED INCOME RENTAL - LOW,2021,47703409,56968000,28512000,48518000,181701409
HD,HD 0218,LEAD PAINT PRIMARY PREVENTION PROGRAM,2021,347568,0,0,0,347568
HD,HD 0222,SUPPORTIVE HOUSING,2021,226718890,202000000,134000000,113000000,675718890
HD,HD 0223,"SMALL HOMES DEVELOPMENT, LARGE SITES",2021,1400000,8786000,6092000,9262000,25540000
HH,HH KN919,URBAN RESOURCE INSTITUTE,2021,20944,0,0,0,20944
HH,HH 0105,PURCHASE OF EQUIPMENT FOR USE BY THE DEPARTMENT OF HOMELESS SERVICES,2021,0,0,2452462,1884000,4336462
HH,HH 0112,CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS,2021,0,66924476,46177000,52059000,165160476
HH,HH 0115,CONGREGATE FACILITIES FOR HOMELESS FAMILIES,2021,0,13722495,42257000,62538000,118517495
HL,HL MN155,EAST HARLEM COUNCIL FOR HUMAN SERVICES,2021,0,407,0,0,407
HL,HL QN201,NEW YORK BLOOD CENTER,2021,0,0,450,0,450
HL,HL QN305,NEW YORK AND PRESBYTERIAN HOSPITAL,2021,195,0,0,0,195
HL,HL RN404,STATEN ISLAND UNIVERSITY HOSPITAL,2021,0,0,1052,0,1052
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2021,55753841,87442000,17791000,262177000,423163841
HL,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",2021,1853784,14055000,1549000,2004000,19461784
HN,HN K001,"MEDGAR EVERS COLLEGE, BROOKLYN",2021,0,0,0,352,352
HN,HN M300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, MANHATTAN",2021,0,0,0,1053993,1053993
HN,HN Q001,QUEENSBOROUGH COMMUNITY COLLEGE,2021,2039000,0,10000,0,2049000
HN,HN Q004,"COMMUNITY COLLEGES' IMPROVEMENTS, QUEENS",2021,2799352,0,0,240000,3039352
HN,HN Q300,"CONSTRUCTION, IMPROVEMENTS TO CUNY SENIOR COLLEGES AND LAW SCHOOLS, QN",2021,0,0,0,24871,24871
HN,HN R300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS,  STATEN IS",2021,350000,0,0,0,350000
HN,HN X002,"COMMUNITY COLLEGES IMPROVEMENTS, BRONX",2021,0,0,0,105380,105380
HN,HN X300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, THE BRONX",2021,0,563185,0,0,563185
HN,HN 0206,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",2021,3858952,47858000,27164000,31394000,110274952
HN,HN 0300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, CITYWIDE",2021,0,0,0,50045000,50045000
HO,HO K001,"HOSPITALS, IMPROVEMENTS, BROOKLYN",2021,0,0,1000,0,1000
HO,HO M002,"PURCHASE OF EQUIPMENT HHC, MANHATTAN",2021,107881,0,0,0,107881
HO,HO Q378,ELMHURST HOSPITAL CENTER,2021,448013,0,0,0,448013
HO,HO X002,"PURCHASE OF EQUIPMENT FOR HHC, THE BRONX",2021,190695,0,0,0,190695
HO,HO 0214,"HOSPITALS, IMPROVEMENTS",2021,316454301,272053000,132770000,25000000,746277301
HO,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",2021,35037512,61319000,32557000,27856000,156769512
HR,HR KN153,FEDERATION OF ITALIAN AMERICAN ORGANIZATIONS,2021,0,0,12000,0,12000
HR,HR MN833,CENTER FOR ALTERNATIVE SENTENCING AND EMPLOYMENT SERVICES,2021,0,0,274,0,274
HR,HR QN942,EMERALD ISLE IMMIGRATION CENTER INC.,2021,0,122,0,0,122
HR,HR XN929,NEW YORK COMMON PANTRY,2021,0,36,0,0,36
HR,HR 0025,IMPROVEMENTS OF STRUCTURES FOR USE BY DEPARTMENT OF SOCIAL SERVICES,2021,2343405,14855000,21084000,17475000,55757405
HR,HR 0109,PURCHASE OF EQUIPMENT FOR USE BY HUMAN RESOURCES,2021,0,226330,241000,220000,687330
HR,HR 0110,COMMUNICATION SYSTEM DEVELOPMENT,2021,356879,1831000,1563000,2762000,6512879
HR,HR 0120,COMPUTER EQUIPMENT,2021,6706093,9355000,2923000,0,18984093
HW,HW X006,"RESURFACING AND RECONSTRUCTION OF STREETS, THE BRONX",2021,999388,0,0,0,999388
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2021,0,34477264,5311000,7000000,46788264
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2021,47311569,40182000,175512000,87134000,350139569
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2021,18388585,65174000,5367000,44953000,133882585
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2021,3829993,118003000,105917000,183644000,411393993
HW,HW 0001R,"CONSTRUCTION AND RECONSTRUCTION OF HIGHWAYS, ETC., S.I.",2021,0,4490841,11392000,27471000,43353841
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2021,11487690,63723000,22078000,19753000,117041690
HW,HW 0002K,"RESURFACING OF STREETS, BROOKLYN",2021,3529071,0,0,0,3529071
HW,HW 0002M,"RESURFACING OF STREETS, MANHATTAN",2021,53221943,10670000,9837000,8394000,82122943
HW,HW 0002R,"RESURFACING OF STREETS, STATEN ISLAND",2021,1375525,0,0,0,1375525
HW,HW 0003,IMPROVEMENTS TO HIGHWAY DEPARTMENT FACILITIES,2021,49326119,84502000,66931000,95445000,296204119
HW,HW 0061,LAND ACQUISITION FOR STREETS & SEWERS,2021,0,0,12587008,7210000,19797008
HW,HW 0200,SIDEWALK CONSTRUCTION,2021,204309073,240568000,179729000,146527000,771133073
HW,HW 0211,REHABILITATION OF STEP STREETS,2021,0,1590008,9740000,0,11330008
HW,HW 0274,"GRADE, PAVE, ETC. BROOKVILLE BOULEVARD, ETC.",2021,2780523,37930000,0,0,40710523
HW,HW 0348,"ENGR., ARCH., ADMIN. COSTS FOR HIGHWAY OPERATIONS CAPITAL PROJECTS",2021,0,3017452,8857000,8300000,20174452
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2021,61490123,129650000,123358000,128736000,443234123
HW,HW 0614,"RECONSTRUCTION OF BERGEN AVE & STS IN VIC OF AVE T & E71, BKLYN",2021,177649,0,104000,0,281649
HW,HW 0662,"RECON. STS. WITHIN AREA BOUNDED BY SO. CONDUIT AVE., ETC., QUEENS",2021,0,275720,0,2822000,3097720
HW,HW 0710,RECONSTRUCTION OF PELHAM PARKWAY,2021,0,0,1052000,0,1052000
HW,HW 0724,"RECONSTRUCTION OF BROOKVILLE BOULEVARD, QUEENS",2021,0,0,6084649,0,6084649
HW,HW 0787,RECONSTRUCTION OF SUTTER AVENUE,2021,0,70698,0,0,70698
HW,HW 0796,"RECONSTRUCTION OF SCHENCK AVENUE, BROOKLYN",2021,908000,0,0,0,908000
HW,HW 0876,"RECONSTRUCTION OF WYCKOFF AVENUE, BROOKLYN",2021,0,0,12140135,0,12140135
HW,HW 0890,"RECONSTRUCTION OF WOODROW ROAD, STATEN ISLAND",2021,0,0,1496499,0,1496499
HW,HW 0919,"RECONSTRUCTION OF BLOOMINGDALE ROAD, STATEN ISLAND",2021,0,535049,0,0,535049
HW,HW 0944,"PRIVATE PORTION FOR HIGHWAY PROJECTS, CITYWIDE",2021,13000,0,0,0,13000
HW,HW 0988,"HAZARD ELIMINATION PROGRAM, CITY WIDE",2021,5155627,22410000,44931000,39725000,112221627
HW,HW 1132,"RECONSTRUCTION OF MCLEAN AVENUE, STATEN ISLAND",2021,1611000,0,0,0,1611000
HW,HW 1140,"RECONST. ARTHUR KILL RD., W/O BLOOMNGDALE RD. TO BENTLEY ST., S.I.",2021,0,16100799,0,0,16100799
HW,HW 1148,"RECONSTRUCT JEWEL STREET AREA, BROOKLYN",2021,1000,0,0,27660000,27661000
HW,HW 1666,"RECONSTRUCTION OF TIMES / DUFFY SQUARE AREA, MANHATTAN",2021,0,224000,0,0,224000
HW,HW 1670,"RECONSTRUCT ALL STREETS RELATED TO WTC AND CLEANUP, CITYWIDE",2021,555888,0,0,0,555888
HW,HW 1672,GRAND CONCOURSE- LOU GEHRIG PLAZA,2021,107699,32000,0,0,139699
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2021,0,140443962,46518000,37066000,224027962
LB,LB 0104,"CONSTRUCTION, SITE ACQUISITION AND F&E TO BRANCH LIBRARIES, BROOKLYN",2021,0,0,18408085,582000,18990085
LB,LB 0107,"CONSTRUCTION, SITE ACQUISITION AND F&E FOR BCM / BROWER PARK LIBRARY",2021,1916000,0,0,0,1916000
LB,LB 0108,"CONSTRUCTION, SITE ACQUISITION AND F&E TO BRANCH LIBRARIES, BROOKLYN",2021,0,190000,0,0,190000
LN,LN 0008,"CONS, SITE AQUISITION AND F&E FOR NYPL FACILITIES CITYWIDE",2021,2614856,4668000,29751000,13932000,50965856
LN,LN 0101M,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, MAN. & SYSTEMWIDE",2021,0,0,109212,0,109212
LN,LN 0101X,"CONS, SITE AQUISITION & F&E, ALL NYPL FACILITIES, BX. & SYSTEMWIDE",2021,0,0,114369,0,114369
LQ,LQ Q122,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, QNS",2021,0,0,554412,2979000,3533412
MT,MT 0001,VARIOUS IMPROVEMENTS OR ACQUISITIONS FOR SURFACE TRANSIT SERVICE,2021,14275000,0,0,0,14275000
P,P  K011,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2021,0,563920,0,2687000,3250920
P,P  M056,"ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS, MANHATTAN",2021,1304399,0,0,0,1304399
P,P  M245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2021,0,0,0,436060,436060
P,P  Q003,"MISCELLANEOUS PARKS, PLAYGROUNDS AND STRUCTURES: QUEENS",2021,0,0,88,0,88
P,P  Q010,"QUEENS COUNTY FARM MUSEUM, IMPROVEMENTS",2021,366738,0,0,0,366738
P,P  Q126,"FRANK GOLDEN PARK, QUEENS",2021,185,0,0,0,185
P,P  Q245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2021,0,0,1478120,7091000,8569120
P,P  Q771,"FOREST PARK RECONSTRUCTION, QUEENS",2021,0,81,0,0,81
P,P  Q773,"BROOKVILLE PARK, QUEENS",2021,0,1000000,0,0,1000000
P,P  Q936,"CUNNINGHAM PARK, QUEENS",2021,0,800000,0,0,800000
P,P  R245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",2021,1525799,0,0,0,1525799
P,P  X003,"PURCHASE OF EQUIPMENT FOR THE DEPT. OF PARKS AND RECREATION, THE BRONX",2021,0,1247,0,0,1247
P,P  0007,CONEY ISLAND BOARDWALK IMPROVEMENTS,2021,0,0,0,7999423,7999423
P,P  0013,FLUSHING MEADOW PARK DEVELOPMENT,2021,0,5082510,11211000,4560000,20853510
P,P  0056,ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS,2021,0,0,0,622000,622000
P,P  0060,SOUNDVIEW PARK DEVELOPMENT,2021,241,0,0,0,241
P,P  0087,DEVELOPMENT OF KISSENA CORRIDOR PARK,2021,0,570315,0,0,570315
P,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2021,0,94702653,63952000,409000,159063653
P,P  0245M,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2021,0,10494107,11021000,0,21515107
P,P  0245Q,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2021,9161785,102268000,36024000,1000000,148453785
P,P  0245R,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",2021,0,149072,0,0,149072
P,P  0245X,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRONX",2021,0,25243758,10750000,2000000,37993758
P,P  0379,"ROCKAWAY BEACH, CONEY ISLAND, ETC. SHORE IMPROVEMENTS",2021,0,1999999,0,0,1999999
P,P  0380,"RIVERSIDE PARK, MANHATTAN, GENERAL REHABILITATION.",2021,0,1051392,43000,0,1094392
P,P  0412,"PROSPECT PARK, IMPROVEMENTS",2021,0,2460199,0,0,2460199
P,P  0501,CITYWIDE WATERFRONT INFRASTRUCTURE PROGRAM,2021,0,8105406,21190000,8759000,38054406
P,P  0505,COMFORT STATIONS AND BUILDINGS CITYWIDE,2021,6584164,23799000,7608000,4635000,42626164
P,P  0506,RECREATION CENTER AND NATURE CENTERS CITYWIDE,2021,15005921,19002000,60709000,4302000,99018921
P,P  0507,DREIER OFFERMAN PARK DEVELOPMENT,2021,3958500,0,0,0,3958500
P,P  0508,DPR OWNED BRIDGES CITYWIDE,2021,26697773,8820000,65381000,111904000,212802773
P,P  0510,"SYNTHETIC TURF FIELDS, CITYWIDE",2021,10217839,25270000,720000,0,36207839
P,P  0568,"SAINT MARY'S PARK, REHABILITATION",2021,413031,786000,0,0,1199031
P,P  0704,CONSTRUCTION AND RECONSTRUCTION OF DEPARTMENTAL FACILITIES,2021,0,1228046,19578000,42751000,63557046
P,P  0705,CONSTRUCTION AND RECONSTRUCTION RELATED TO PLANYC,2021,0,0,559350,7000,566350
P,P  0715,"ORCHARD BEACH, EXPANSION",2021,0,0,26914935,20154000,47068935
P,P  0721,PELHAM BAY PARK,2021,358,0,0,0,358
P,P  0801,CLAREMONT PARK REHABILITATION,2021,0,0,0,1998461,1998461
P,P  0819,"MCCARREN PARK, RENOVATION AND IMPROVEMENTS",2021,0,4557920,0,0,4557920
P,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",2021,31405270,14002000,14135000,16375000,75917270
P,P  0828,RECONSTRUCTION OF BATTERY PARK SEA WALL,2021,796971,165000,0,0,961971
P,P  0887,"CITY ZOOS, CITYWIDE",2021,0,4416600,6390000,4583000,15389600
P,P  0896,"REHABILITATION OF UPPER HIGHLAND PARK, QUEENS",2021,0,5369000,260000,1219000,6848000
P,P  0926,"TOMPKINS SQUARE PARK, RENOVATION, MANHATTAN",2021,0,4600000,0,1000000,5600000
P,P  0933,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF PARKS AND RECREATION,2021,19491163,0,12616000,10115000,42222163
P,P  0935,"SOUTH BEACH BOARDWALK, RECONSTRUCTION, S.I.",2021,952302,6669000,402000,0,8023302
P,P  0936,"CUNNINGHAM PARK, RECONSTRUCTION, QUEENS",2021,8699,3690000,0,0,3698699
P,P  0938,"EVERGREEN PARK, RECONSTRUCTION, QUEENS",2021,0,0,0,499999,499999
P,P  0950,COMPUTER EQUIPMENT,2021,0,10031506,360000,6000000,16391506
P,P  0956,"DYKER BEACH PARK, RECONSTRUCTION, BROOKLYN",2021,3288000,0,0,0,3288000
P,P  0973,RECONSTRUCTION OF SHORE ROAD PARK,2021,0,589099,0,0,589099
P,P  0977,RECONSTRUCTION OF COMMODORE BARRY PARK,2021,0,6671000,0,0,6671000
P,P  0990,RECONSTRUCTION OF ASTORIA PARK POOL,2021,0,0,16898542,0,16898542
P,P  1001,"RECONSTRUCTION OF EDERLE PARK AMPHITHEATRE, QUEENS",2021,106000,0,0,0,106000
P,P  1008,"RECONST., INTERMEDIATE POOLS, EQUIPMENT, AND BATHHOUSES",2021,0,1611028,9920000,3954000,15485028
P,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2021,107969033,138350000,126834000,303164000,676317033
P,P  1072,"KELLY PARK,RECONSTRUCTION,BROOKLYN",2021,0,0,0,924997,924997
P,P  1095,"BARRIER RECONSTRUCTION, CITYWIDE",2021,0,25451138,0,0,25451138
P,P  1130,"CONSTRUCT AND RECONSTRUCT SHORE PKWY BIKE PATHS, BROOKLYN",2021,0,34500,0,0,34500
P,P  1141,"GRAND ARMY PLAZA RECONSTRUCTION, BROOKLYN",2021,0,3552231,4631000,0,8183231
P,P  1245,"RECONSTRUCTION, WATERFRONT PARKS & PLAYGROUNDS, CITY WIDE",2021,0,5165149,21792000,894000,27851149
P,P  1246,HUDSON RIVER TRUST,2021,0,4699554,23000000,0,27699554
P,P  1249,"CONSTRUCTION & RECONSTRUCTION OF ROOFING SYSTEMS, CITYWIDE",2021,1208461,2861000,749000,1563000,6381461
P,P  1250,"RECONSTRUCTION/REPLACEMENT OF HVAC AND BOILERS, CITYWIDE",2021,0,9970126,26085000,7796000,43851126
P,P  1300,"IMPROVEMENTS TO CENTRAL PARK, MANHATTAN",2021,0,1620000,52783000,4608000,59011000
P,P  1321,"FRESH KILLS PARK, STATEN ISLAND",2021,0,29409264,6799000,0,36208264
P,P  1324,"FORT TOTTEN PARK, QUEENS",2021,0,10178,0,0,10178
P,P  1329,RETAINING WALLS AND SEAWALLS,2021,2428626,11278000,0,8505000,22211626
P,P  1331,SIDEWALKS AND TREES,2021,5638000,0,0,0,5638000
PO,PO M185,"PURCHASE AND INSTALLATION OF EQUIPMENT, MANHATTAN",2021,219,0,0,0,219
PO,PO Q185,"PURCHASE AND INSTALLATION OF EQUIPMENT, QUEENS",2021,1248036,0,0,0,1248036
PO,PO 0002,"CONSTRUCTION OF A NEW 116th PRECINCT STATION HOUSE, QUEENS",2021,17194018,0,0,0,17194018
PO,PO 0005,"SITE ACQUISITION AND CONS FOR A NEW PROPERTY CLERK FACILITY, QUEENS",2021,0,139474000,154170000,0,293644000
PO,PO 0046,ULTRA HIGH FREQUENCY RADIO TELEPHONE EQUIPMENT,2021,6499743,17105000,0,11000000,34604743
PO,PO 0079,"IMPROVEMENTS TO POLICE DEPARTMENT PROPERTY, CITYWIDE",2021,75546362,277586000,20215000,38168000,411515362
PO,PO 0111,MARINE LAUNCHES FOR HARBOR UNIT,2021,0,1391200,2000000,0,3391200
PO,PO 0141,NEW 40TH PRECINCT STATION HOUSE,2021,166240,0,0,0,166240
